src_employee,dst_employee,weight
E00949,E00838,0.22
E01012,E00784,0.44
E00928,E00048,0.7
E00575,E00466,0.11
E00064,E00320,0.66
E00303,E00386,0.24
E00221,E00635,0.39
E00409,E01031,0.76
E00732,E00026,0.66
E00510,E00665,0.5
E00258,E00979,0.51
E00442,E00518,0.94
E00197,E00818,1.0
E00880,E00077,0.73
E00442,E00119,0.38
E00871,E00010,0.53
E00399,E00748,0.65
E01122,E00513,0.21
E00451,E01188,0.82
E00699,E00556,0.85
E00725,E00074,0.9
E00344,E00963,0.33
E00511,E00234,0.8
E00034,E00807,0.72
E01182,E00978,0.14
E00202,E01055,0.39
E00886,E01085,0.12
E00105,E01068,0.19
E00222,E00741,0.54
E00266,E00703,0.83
E00531,E01078,0.89
E00205,E01091,0.11
E00429,E00954,0.93
E00794,E00961,0.8
E00912,E01050,0.44
E00130,E01079,0.42
E00169,E00135,0.99
E00217,E00843,0.25
E00547,E00092,0.94
E00409,E00389,0.85
E01073,E00812,0.78
E00977,E00910,0.37
E01151,E00908,0.44
E00830,E00005,0.81
E00438,E00868,0.37
E00072,E00219,0.44
E00238,E00837,0.99
E00761,E00019,0.25
E00945,E00633,0.9
E00840,E00138,0.14
E00443,E00097,0.14
E00515,E00948,0.2
E00696,E00690,0.57
E00831,E00129,0.9
E00762,E00010,0.31
E01028,E00697,0.91
E00628,E00790,0.89
E00537,E00478,0.6
E00225,E00139,0.81
E00002,E00009,0.43
E00729,E00224,0.84
E00118,E00799,0.85
E00787,E00877,0.5
E00707,E01075,0.52
E01009,E01198,0.42
E01087,E00727,0.9
E00494,E00032,1.0
E01167,E00837,0.96
E00103,E01188,0.85
E00320,E00348,0.5
E01041,E00581,0.23
E00090,E00649,0.85
E00808,E00005,0.35
E01095,E00402,0.57
E00882,E00202,0.6
E00518,E00440,0.91
E00896,E00412,0.17
E00725,E01109,0.59
E01061,E00450,0.8
E00181,E00894,0.49
E00486,E00710,0.74
E00045,E00967,0.25
E00750,E01167,0.26
E00586,E00538,0.24
E00016,E01168,0.47
E01045,E00847,0.7
E01042,E00368,0.24
E01017,E00434,0.82
E00183,E00269,0.55
E01156,E00195,0.82
E00783,E00853,0.23
E00411,E00558,0.85
E00502,E00168,0.73
E00036,E00846,0.18
E00418,E01067,0.31
E00389,E00877,0.42
E00636,E00668,0.27
E00186,E01071,0.84
E00258,E01091,0.94
E00447,E00914,0.56
E00480,E00661,0.37
E01044,E00918,0.45
E00295,E00821,0.28
E00619,E00878,0.64
E00188,E01021,0.66
E00105,E00624,0.15
E00994,E00289,0.89
E00063,E01005,0.24
E00197,E00137,0.47
E00334,E01148,0.53
E01061,E00446,0.31
E00511,E00940,0.36
E00105,E00234,0.65
E00898,E01127,0.44
E00115,E00479,0.23
E00355,E00835,0.95
E00883,E00161,0.2
E00327,E00899,0.37
E00769,E00148,0.38
E00519,E00913,0.69
E01085,E00724,0.58
E00939,E00965,0.43
E00545,E00792,0.78
E00950,E00949,0.72
E00582,E00144,0.19
E00401,E00922,0.8
E01097,E00165,0.44
E00405,E00471,0.54
E00686,E00762,0.15
E00280,E00498,0.74
E01157,E00839,0.66
E00654,E01192,0.89
E00590,E00007,0.92
E00488,E00003,0.18
E00194,E00922,0.42
E00279,E00718,0.25
E00050,E00370,0.79
E00275,E00576,0.69
E00122,E00242,0.35
E01168,E00922,0.39
E00929,E00463,0.47
E00109,E00506,0.73
E01132,E01125,0.9
E01173,E01127,0.7
E01058,E00471,0.91
E01034,E00969,0.9
E00387,E01058,0.38
E00599,E00185,0.32
E00947,E00386,0.73
E00658,E00098,0.63
E01062,E00871,0.2
E00106,E01018,0.95
E00954,E00389,0.5
E00383,E00590,0.1
E00509,E00479,0.2
E00587,E00816,0.66
E00454,E00841,0.37
E00202,E00381,0.27
E00865,E00415,0.92
E00264,E01173,0.77
E00783,E00690,0.41
E00867,E00709,0.58
E01169,E00566,0.88
E00382,E00626,0.83
E00301,E00075,0.66
E00470,E00263,0.91
E01006,E00681,0.9
E01084,E00310,0.8
E00249,E00575,0.91
E00481,E00520,0.8
E00206,E00780,0.28
E00650,E00042,0.17
E01077,E00399,0.95
E00871,E00032,0.75
E00117,E00768,0.69
E00482,E00682,0.51
E00873,E01157,0.79
E00843,E01032,0.81
E00349,E00989,0.37
E00723,E01126,0.97
E01031,E01022,1.0
E00854,E00178,0.17
E01181,E00979,0.66
E00607,E00425,0.25
E00749,E00641,0.59
E00622,E00637,0.11
E00345,E00815,0.15
E00440,E00598,0.35
E00417,E01040,0.55
E00172,E00987,0.48
E00303,E00999,0.65
E01165,E00391,0.76
E00214,E00869,0.34
E00406,E00188,0.84
E00952,E00158,0.87
E00184,E01044,0.4
E00655,E00225,0.36
E00816,E00474,0.24
E00201,E00569,0.89
E00439,E00830,0.22
E00490,E00024,0.41
E00985,E01044,0.26
E00832,E00378,0.61
E00655,E01097,0.51
E00861,E00179,0.66
E00472,E00194,0.86
E00840,E00374,0.19
E00987,E00686,0.83
E00601,E01192,0.65
E00725,E00790,0.14
E00512,E01008,0.39
E00248,E00565,0.77
E00119,E01090,0.71
E00754,E01157,0.48
E01012,E00441,0.96
E01141,E00764,0.27
E00852,E00589,0.28
E00181,E00531,0.49
E01085,E00090,0.31
E00763,E01143,0.33
E01062,E00519,0.73
E00721,E01151,0.59
E00694,E01189,0.56
E00966,E00245,0.22
E00850,E00060,0.87
E01075,E00746,0.87
E00188,E00502,0.77
E00499,E00496,0.74
E00544,E01160,0.96
E00385,E00363,0.21
E00087,E00879,0.12
E00010,E00163,0.64
E00635,E01182,0.42
E00553,E00851,0.76
E00509,E01044,0.25
E00224,E00462,0.47
E00147,E01164,0.78
E01115,E00069,0.15
E00597,E00252,0.78
E01175,E00127,0.81
E00976,E01108,0.44
E00392,E01182,0.66
E00396,E00387,0.53
E00876,E00145,0.32
E00968,E00238,0.39
E01064,E00476,0.78
E00248,E00578,0.28
E00166,E00004,0.49
E00451,E01153,0.75
E00968,E00924,0.35
E01147,E00908,0.43
E01066,E00673,0.56
E00724,E01055,0.69
E00439,E00928,0.5
E00210,E00572,0.61
E00310,E00127,0.79
E00440,E01121,1.0
E01110,E01061,0.64
E00174,E00335,0.38
E00205,E00856,0.79
E00685,E00737,0.16
E00860,E00351,0.79
E00086,E00093,0.62
E00663,E00795,0.53
E00100,E00625,0.24
E00578,E00388,0.19
E00501,E00580,0.51
E00751,E00698,0.19
E00443,E00192,0.9
E00254,E00059,0.91
E00049,E01043,0.24
E01010,E00566,0.67
E00610,E00070,0.51
E00967,E00801,0.91
E00255,E00908,0.88
E00764,E00227,0.54
E00954,E01036,0.68
E00592,E00967,0.99
E00187,E01192,0.5
E00977,E00490,0.41
E00314,E00686,0.23
E01097,E00234,0.32
E00151,E00386,0.29
E00128,E00042,0.42
E00679,E00152,0.75
E00546,E00249,0.93
E00906,E00502,0.27
E00430,E00570,0.44
E01117,E00037,0.9
E00427,E00786,0.66
E00334,E01170,0.84
E01199,E00059,0.46
E00642,E00927,0.97
E00160,E00007,0.79
E00887,E00154,0.92
E00599,E01167,0.29
E00170,E00990,0.35
E01140,E00806,0.57
E00591,E00124,0.66
E00332,E00888,0.33
E00071,E00657,0.81
E00722,E00344,0.64
E00126,E00427,0.94
E00104,E00883,0.38
E00149,E00986,0.22
E00929,E00290,0.6
E00871,E01191,0.34
E01005,E00833,0.92
E00698,E00354,0.93
E00022,E00474,0.35
E00994,E00445,0.53
E01099,E00473,0.95
E01026,E00483,0.67
E00317,E00007,0.84
E00257,E00747,0.21
E01029,E00304,0.78
E00074,E01161,0.17
E00655,E00938,0.24
E00611,E00152,0.58
E00959,E00632,0.47
E00223,E00234,0.64
E01020,E00181,0.31
E00613,E01135,0.75
E00730,E00228,0.97
E01118,E00467,0.35
E00986,E00258,0.12
E00004,E00080,0.71
E01132,E00378,0.24
E00048,E00744,0.19
E00548,E00934,0.71
E00771,E00582,0.26
E00112,E00502,0.52
E00350,E00730,0.37
E01009,E01164,0.4
E01018,E00231,0.5
E00835,E01093,0.5
E00918,E01004,0.62
E00143,E00461,0.65
E00200,E00241,0.83
E01120,E00285,0.37
E00216,E00324,0.24
E00969,E00660,0.13
E00684,E00251,0.29
E00140,E00745,0.3
E00900,E00345,0.64
E00639,E00606,0.83
E00405,E00417,1.0
E00910,E00959,0.33
E00306,E00740,0.47
E00535,E01091,0.17
E00786,E00457,0.97
E01003,E00230,0.2
E00404,E00554,0.78
E00528,E00556,0.58
E01018,E00400,0.13
E00070,E00587,0.57
E00821,E00723,0.88
E00989,E00084,0.39
E00510,E00722,0.78
E00496,E00270,0.95
E00277,E00762,0.89
E00157,E01043,0.51
E00816,E00762,0.11
E00248,E01143,0.74
E00908,E00662,0.33
E00010,E00993,0.35
E00455,E00236,0.79
E00432,E00072,0.87
E00862,E01156,0.2
E00251,E00714,0.94
E00688,E01092,0.8
E00366,E01153,0.54
E00681,E01065,0.87
E01169,E00710,0.62
E01020,E00040,0.37
E00339,E00794,0.15
E00969,E00688,0.12
E00644,E01121,0.15
E00750,E00273,0.57
E00498,E00182,0.19
E00875,E00012,0.65
E01188,E00138,0.45
E00259,E01087,0.76
E00125,E00089,0.71
E00029,E00926,0.36
E00879,E00690,0.37
E01044,E00452,0.94
E01012,E00701,0.9
E00028,E00016,0.66
E00714,E00977,0.42
E01159,E00808,0.63
E00834,E01072,0.41
E00561,E00273,0.34
E00808,E00925,0.76
E00795,E00677,0.75
E00812,E00011,0.17
E00341,E00159,0.51
E00448,E00851,0.27
E00423,E00904,0.89
E00425,E00743,0.65
E01160,E00015,0.75
E00284,E00781,0.48
E01095,E00394,0.59
E00829,E00835,0.92
E00265,E01028,0.75
E00574,E00848,0.87
E00078,E01035,0.68
E00343,E01177,0.62
E00894,E01018,0.67
E00312,E00278,0.67
E00778,E00349,0.41
E00923,E00333,0.48
E00749,E00238,0.2
E00856,E00724,0.74
E00939,E00693,0.15
E00454,E00618,0.37
E01121,E00193,0.66
E00187,E00720,0.83
E00481,E00189,0.81
E00939,E00652,0.62
E00787,E00043,0.25
E00736,E00624,0.49
E00813,E00790,0.11
E00453,E00467,0.71
E00685,E00042,0.55
E00687,E00948,0.78
E00836,E00172,0.91
E00019,E00837,0.23
E00669,E00818,0.41
E01061,E00346,0.55
E00058,E00029,0.35
E01034,E01129,0.55
E00359,E01197,0.17
E00807,E00291,0.48
E00523,E00018,0.16
E00752,E00971,0.53
E00325,E00551,0.36
E00564,E01012,0.74
E01191,E00863,0.52
E00510,E00929,0.81
E00528,E00208,0.15
E00356,E00915,0.47
E00020,E00557,0.86
E00864,E00003,0.15
E00399,E00699,0.33
E00947,E00999,0.42
E00423,E01192,0.66
E00233,E00124,0.41
E00128,E00490,0.14
E00669,E00081,1.0
E01155,E00826,0.66
E00928,E01144,0.13
E00013,E00255,0.53
E01116,E00607,0.52
E00047,E01013,0.71
E00479,E00428,0.69
E00817,E00978,0.47
E00217,E00717,0.76
E00087,E00444,0.12
E00845,E00888,0.57
E00665,E00995,0.55
E00123,E01172,0.25
E00238,E00874,0.26
E00656,E00809,0.69
E01181,E00372,0.95
E00952,E00506,0.35
E00529,E00932,0.25
E01184,E00413,0.24
E00884,E00079,0.82
E01075,E00594,0.43
E00724,E00555,0.27
E00304,E00052,0.77
E00691,E00606,0.83
E00787,E00985,0.13
E01098,E00924,0.1
E00894,E01108,0.56
E00323,E01056,0.91
E00727,E00986,0.9
E00794,E00557,0.72
E00050,E00397,0.19
E00658,E00850,0.29
E01189,E00806,0.87
E00113,E00418,0.67
E00419,E00243,0.74
E00987,E00634,0.96
E00663,E00081,0.78
E00927,E00194,0.22
E00422,E00784,0.69
E00894,E00989,0.27
E00993,E00180,0.94
E00763,E01178,0.85
E00245,E00162,0.79
E00366,E00551,0.54
E00860,E01161,0.3
E00031,E00946,0.66
E00069,E00972,0.3
E01161,E00366,0.77
E01067,E00976,0.64
E00329,E00368,0.78
E00025,E00031,0.6
E00622,E00129,0.5
E00815,E00135,0.66
E00025,E00866,0.61
E01197,E00084,0.67
E00724,E00292,0.43
E01157,E00935,0.61
E00655,E00603,0.3
E00589,E00840,0.45
E01132,E00868,0.32
E00207,E00334,0.86
E00051,E00544,0.58
E00967,E00893,0.86
E01016,E00660,0.35
E00511,E00481,0.86
E00007,E00408,0.51
E01122,E00573,0.79
E00575,E00166,0.83
E00862,E00245,0.2
E00109,E00860,0.53
E00240,E00292,0.18
E00566,E00393,0.6
E00534,E00948,0.11
E00528,E00793,0.87
E00215,E00444,0.43
E00619,E00765,0.71
E00552,E01018,0.39
E00450,E00113,0.13
E00817,E00505,0.56
E00349,E01182,0.22
E01012,E00994,0.47
E00023,E00117,0.22
E00887,E00057,0.68
E00559,E00988,0.88
E00536,E00557,0.89
E00743,E00782,0.72
E00689,E00503,0.86
E00210,E00047,0.6
E00570,E00361,0.37
E00490,E00650,0.97
E00676,E01027,0.72
E00756,E00913,0.16
E00564,E00657,0.23
E01038,E01033,0.23
E00154,E00107,0.6
E00672,E00386,0.62
E00231,E00849,0.45
E00255,E00149,0.16
E00062,E00419,1.0
E00275,E00371,0.43
E01025,E00876,0.41
E00073,E00829,0.95
E01052,E00101,0.17
E00483,E00183,0.4
E00214,E00129,0.21
E00245,E00920,0.4
E00516,E00790,0.21
E00427,E01177,0.51
E00370,E00534,0.42
E01098,E00916,0.4
E01044,E00761,0.52
E01189,E00311,0.5
E01133,E00692,0.33
E00118,E00103,0.2
E00323,E00942,0.96
E00188,E00845,0.38
E01136,E00530,0.18
E00558,E00175,0.51
E00196,E01008,0.27
E00736,E00367,0.66
E00779,E00063,0.7
E00835,E00237,0.12
E00960,E00639,0.84
E00303,E00224,0.63
E00332,E00466,0.48
E00564,E00667,0.92
E00785,E00191,0.25
E01108,E01125,0.19
E00096,E00798,0.49
E01198,E00181,0.51
E00122,E00036,0.49
E01110,E00339,0.78
E00243,E00942,0.51
E00337,E01177,0.38
E00654,E00053,0.57
E00428,E00862,0.72
E01105,E01054,0.84
E00436,E00662,0.88
E00338,E01168,0.23
E00504,E00248,0.97
E00449,E00660,0.66
E01133,E01167,0.55
E00640,E00273,0.92
E01146,E00715,0.59
E00007,E00219,0.63
E00560,E00986,0.52
E00842,E00360,0.82
E01104,E00442,0.59
E00627,E00444,0.14
E00498,E00261,0.55
E00619,E00279,0.16
E01102,E00400,0.76
E00463,E01197,0.4
E00916,E00692,1.0
E00790,E00391,0.79
E00045,E00295,0.22
E00607,E00496,0.63
E00921,E00185,0.86
E01021,E00322,0.58
E00288,E00734,0.19
E00158,E00551,0.97
E00175,E00073,0.73
E00490,E00848,0.24
E01113,E01137,0.18
E00777,E01012,0.13
E00987,E00812,0.59
E00579,E00147,0.41
E00883,E01158,0.95
E00599,E00593,0.43
E00939,E00123,0.16
E00675,E00888,0.2
E00004,E00291,0.85
E00648,E00733,0.73
E00587,E00867,0.21
E01092,E00468,0.55
E00009,E00085,0.76
E00043,E01133,0.38
E00728,E00460,0.33
E01039,E00434,0.41
E00956,E01019,0.39
E00905,E01194,0.3
E00814,E01141,0.38
E00169,E00463,0.72
E00701,E01012,0.23
E00683,E00280,0.32
E00588,E00448,0.66
E00376,E00753,0.81
E00632,E00520,0.65
E00433,E00250,0.53
E00080,E01041,0.27
E00216,E00290,0.73
E00344,E00445,0.13
E00913,E00791,0.14
E01157,E00298,0.84
E00359,E00910,0.83
E00144,E01185,0.21
E00663,E00220,0.43
E00690,E01097,0.98
E00364,E01077,0.79
E00209,E00656,0.43
E00977,E00271,0.1
E00786,E00373,0.59
E00125,E00976,0.88
E00457,E01041,0.45
E00143,E00643,0.25
E01017,E00333,0.56
E00148,E00315,0.62
E00543,E00090,0.16
E00189,E00593,0.47
E00161,E00594,0.86
E00621,E00469,0.34
E00368,E00671,0.83
E00080,E00130,0.9
E00712,E00257,0.62
E01193,E00938,0.58
E01156,E00507,0.8
E00368,E00990,0.32
E00188,E00114,0.12
E01032,E01020,0.65
E00121,E00219,0.59
E00811,E01075,0.56
E00446,E00720,0.82
E00836,E00513,0.94
E01054,E01140,0.91
E01010,E00790,0.83
E00321,E00058,0.39
E00281,E00848,0.55
E00688,E01163,0.77
E00874,E00960,0.61
E00486,E00095,0.94
E00747,E00857,0.37
E01001,E00686,0.49
E00202,E00246,0.5
E00255,E00744,0.89
E01099,E00275,0.86
E00328,E00005,0.37
E00650,E01064,0.69
E00944,E00698,0.47
E00119,E00196,0.58
E00581,E00900,0.48
E00504,E00212,0.25
E00757,E00049,0.86
E00320,E00543,0.28
E00302,E00366,0.83
E00806,E01114,0.87
E00371,E00701,0.84
E00352,E00877,0.47
E00564,E01196,0.86
E00552,E01050,0.34
E00519,E00585,0.69
E00387,E00645,0.3
E00690,E00616,0.96
E00035,E00905,0.19
E00445,E00264,0.15
E00547,E00141,0.16
E00794,E00348,0.28
E00124,E00114,0.56
E01018,E01100,0.13
E00644,E01048,0.58
E00139,E00738,0.95
E01008,E00971,0.49
E00113,E00687,0.23
E00011,E00581,0.46
E00951,E01004,0.49
E00775,E01045,0.39
E00568,E00346,0.7
E00757,E00174,0.58
E00390,E00234,0.32
E01034,E00551,0.92
E00935,E01114,0.73
E00440,E00897,0.12
E00824,E00862,0.76
E00171,E00699,0.38
E00270,E00468,0.21
E00441,E01102,0.17
E01074,E00739,0.37
E00964,E00027,0.66
E00177,E00335,0.59
E00514,E01146,0.5
E00981,E00934,0.4
E00182,E00342,0.6
E00142,E00451,0.55
E00429,E00958,0.96
E00192,E00670,0.99
E00209,E00133,0.68
E00714,E00316,0.45
E00975,E00321,0.64
E00161,E00377,0.48
E00441,E00854,0.74
E00357,E00445,0.4
E00947,E00845,0.52
E00575,E00248,0.94
E00436,E01179,0.74
E00960,E01150,0.31
E00333,E01050,0.52
E00052,E00115,0.8
E00366,E00911,0.39
E01186,E00563,0.46
E00994,E00375,0.86
E00834,E00901,0.82
E00948,E00083,0.75
E00673,E01000,0.13
E01013,E00522,0.51
E00009,E00975,0.53
E01191,E00720,0.35
E00370,E00572,0.18
E00035,E00785,0.43
E00591,E00200,0.94
E00210,E00898,0.99
E00440,E00514,0.88
E00502,E01180,0.38
E00597,E00750,0.29
E00535,E00361,0.93
E00978,E00152,0.82
E00781,E00045,0.42
E01117,E01073,0.22
E00143,E01187,0.9
E00247,E00205,0.73
E00895,E00149,0.75
E00947,E00108,0.67
E00457,E00817,0.41
E00423,E00607,0.1
E00296,E00929,0.9
E00620,E00270,0.16
E00746,E00705,0.23
E00377,E00349,0.16
E01040,E00273,0.56
E00039,E00015,0.27
E00784,E01150,0.73
E00305,E01046,0.58
E00720,E00183,0.73
E00635,E00467,0.95
E00749,E00123,0.29
E00836,E00208,0.5
E00896,E01046,0.69
E00985,E00360,0.27
E00731,E00862,0.89
E00498,E00335,0.68
E00712,E00063,0.21
E00134,E00072,0.58
E01082,E00193,0.44
E00331,E00159,0.64
E00153,E01085,0.65
E01054,E00510,0.57
E00303,E01153,0.59
E00928,E00554,0.31
E00392,E00398,0.8
E00006,E00954,0.11
E00702,E00380,0.83
E00522,E00962,0.51
E00328,E00251,0.49
E00502,E00176,0.11
E01046,E00736,0.54
E00404,E01073,0.45
E00580,E00465,0.19
E00520,E01153,0.1
E01136,E00420,0.48
E00213,E01023,0.56
E00308,E00460,0.2
E00378,E01144,0.55
E00792,E00459,0.66
E00905,E01106,0.84
E00667,E00323,0.38
E00910,E01177,0.78
E00743,E00974,0.59
E00962,E00626,0.81
E00155,E00696,0.63
E00505,E01198,0.11
E00762,E00320,0.12
E00098,E00208,0.11
E00834,E00569,0.91
E01153,E00432,0.39
E00789,E00394,0.48
E00824,E00158,0.65
E00113,E01025,0.29
E00899,E00482,0.16
E00857,E00013,0.56
E00082,E00508,0.33
E01087,E01085,0.47
E00836,E00564,0.37
E01162,E01170,0.41
E01083,E00395,0.35
E00045,E00747,0.96
E00941,E00956,0.62
E00046,E00301,0.94
E00126,E00298,0.31
E00625,E00847,0.8
E01140,E00556,0.21
E00921,E00345,0.83
E00803,E00658,0.87
E00906,E00001,0.84
E00165,E00151,0.68
E00227,E00839,0.82
E00539,E00083,0.67
E00575,E00717,0.45
E01037,E00175,0.49
E00992,E00844,0.68
E00327,E00707,0.44
E00158,E01032,0.58
E01009,E01108,0.17
E00029,E01010,0.49
E00698,E01151,0.66
E00723,E00814,0.25
E00253,E00901,0.36
E01072,E00230,0.66
E00268,E00995,0.13
E00711,E00792,0.46
E01005,E00136,0.25
E00851,E00538,0.44
E00756,E00252,0.66
E00233,E00901,0.75
E00963,E00912,0.95
E00850,E00018,0.84
E01098,E00173,0.37
E00405,E00729,0.54
E00413,E00997,0.96
E00310,E00683,0.85
E00934,E00996,0.93
E00994,E00303,0.9
E01001,E00847,0.6
E00926,E00412,0.57
E01053,E00233,0.14
E00947,E00911,0.79
E00226,E00142,0.35
E00781,E00008,0.96
E00873,E00093,0.65
E00554,E01169,0.33
E00097,E00252,0.36
E00913,E01185,0.23
E00436,E00444,0.44
E01011,E00855,0.3
E00400,E00451,0.82
E00173,E00811,0.83
E00576,E00218,0.64
E00506,E00855,0.52
E00788,E00094,0.8
E01196,E00442,0.77
E00763,E00708,0.28
E00379,E00680,0.21
E00393,E00151,0.71
E00506,E00861,0.43
E00079,E00547,0.86
E00104,E00061,0.41
E00081,E00884,0.56
E00362,E01158,0.44
E00577,E00873,0.76
E00224,E00195,0.4
E00286,E00207,0.12
E00022,E00055,0.56
E01024,E00304,0.74
E00122,E00287,0.64
E01022,E00468,0.3
E00819,E00779,0.65
E01152,E00545,0.44
E00721,E00554,0.19
E01043,E00536,0.62
E01140,E00582,0.96
E00474,E00723,0.24
E00035,E00353,0.31
E00652,E00766,0.34
E00699,E00197,0.23
E00078,E00493,0.86
E00941,E00049,0.47
E00682,E00491,0.1
E00163,E01029,0.35
E00600,E00538,0.84
E00574,E00315,0.18
E00474,E00505,0.27
E00652,E00506,0.23
E00901,E00754,0.89
E00879,E00765,0.39
E00158,E01119,0.68
E00758,E01085,0.9
E00906,E00558,0.3
E00839,E00101,0.15
E00167,E00217,0.29
E01117,E00706,0.37
E00940,E01052,0.89
E01113,E00461,0.84
E00745,E00567,0.83
E00861,E00553,0.62
E00680,E01009,0.99
E00848,E00647,0.78
E00913,E00272,0.81
E00527,E00460,0.66
E00863,E01005,0.66
E01172,E00899,0.21
E00160,E00067,0.78
E01080,E00788,0.52
E00239,E00356,0.73
E00648,E00898,0.81
E00420,E00600,0.56
E00880,E00156,0.38
E01021,E00454,0.87
E01040,E00139,0.34
E00216,E00914,0.25
E00639,E00592,0.32
E00390,E01195,0.58
E00086,E01074,0.42
E00290,E00673,0.83
E00555,E01028,0.91
E00317,E00292,0.55
E00149,E01082,0.68
E01085,E00307,0.23
E00447,E00234,0.99
E00564,E00300,0.73
E00123,E00239,0.97
E00697,E01110,0.27
E01089,E00209,0.93
E00472,E01195,0.27
E00637,E00861,0.46
E01103,E00508,0.18
E00565,E00968,0.4
E00985,E01039,0.7
E00689,E00156,0.29
E00137,E00140,0.3
E01186,E01052,0.93
E00625,E00038,0.36
E00246,E00146,0.91
E01162,E00965,0.97
E00961,E00210,0.44
E00114,E00055,0.48
E00640,E00306,0.2
E00045,E00162,0.21
E00079,E00752,0.41
E00786,E00091,0.16
E00773,E00660,0.48
E00135,E00343,0.52
E00751,E01056,0.8
E00211,E00671,0.75
E00689,E00631,0.98
E01143,E01079,0.62
E00453,E01170,0.63
E00402,E00365,0.34
E00722,E00818,0.63
E01128,E00557,0.11
E00056,E00571,0.47
E00594,E00620,0.73
E00649,E00949,0.28
E00649,E00798,0.86
E00217,E00792,0.6
E00652,E00786,0.48
E00037,E01061,0.22
E01071,E00286,0.29
E00655,E00059,0.37
E00426,E00807,0.76
E00094,E00726,0.74
E01029,E00854,0.39
E00295,E01012,0.44
E00021,E01033,0.21
E00332,E00148,0.16
E00028,E01024,0.93
E00488,E00261,0.91
E01188,E00903,0.86
E00630,E00696,0.15
E00586,E00738,0.79
E00266,E00777,0.39
E00099,E00372,0.63
E00428,E00443,0.83
E00271,E00827,0.97
E00726,E00940,0.85
E01145,E00559,0.66
E00083,E00557,0.38
E00012,E00501,0.86
E00375,E00649,0.59
E00924,E00982,0.34
E00687,E01002,0.12
E01129,E00754,0.29
E00078,E00241,0.58
E01134,E00741,0.68
E01175,E00652,0.59
E01027,E01178,0.66
E01196,E01045,0.33
E00998,E00350,0.93
E00077,E00011,0.62
E01132,E00789,0.98
E00992,E00844,0.86
E00848,E00249,0.15
E00976,E00568,0.37
E00790,E00733,0.8
E00447,E00509,0.79
E00994,E00708,0.89
E00142,E00581,0.4
E00409,E00188,0.9
E00502,E00981,0.79
E00627,E00591,0.27
E00804,E01074,0.33
E00307,E00950,0.55
E01124,E00165,0.23
E00798,E00524,0.61
E00807,E00843,0.12
E00129,E01012,0.4
E00478,E00582,0.24
E00991,E00940,0.72
E00437,E00978,0.61
E00301,E00508,0.82
E00669,E00167,0.8
E01093,E00750,0.99
E00522,E00760,0.9
E00716,E00340,0.17
E00289,E00951,0.26
E00123,E01014,0.21
E00194,E00667,0.96
E00598,E01200,0.82
E01190,E00002,0.65
E00486,E00117,0.11
E00382,E00367,0.87
E00097,E01193,0.78
E01156,E01000,0.83
E00541,E01181,0.65
E00081,E00080,0.95
E00044,E01013,0.35
E00413,E00018,0.61
E00488,E00633,0.37
E00500,E00890,0.27
E00492,E00599,0.7
E01052,E00215,0.21
E00066,E01132,0.93
E00435,E00320,0.57
E00688,E00918,0.8
E01108,E00775,0.2
E01197,E00828,0.77
E00399,E00587,0.26
E01081,E00751,0.18
E00864,E00178,0.27
E00792,E01191,0.86
E01193,E00975,0.32
E00958,E00936,0.49
E00825,E00450,1.0
E00910,E00699,0.75
E00590,E00083,0.44
E01128,E00249,0.45
E01152,E00579,0.57
E01018,E00487,0.16
E01111,E00652,1.0
E00263,E00686,0.25
E01140,E00984,0.71
E00745,E00388,0.7
E00193,E00102,0.9
E00132,E00279,0.19
E00397,E00969,0.66
E00039,E00603,0.55
E00331,E00144,0.91
E01190,E00761,0.64
E00866,E00730,0.88
E00982,E00075,0.24
E00730,E00901,0.41
E00814,E00278,0.2
E00824,E00375,1.0
E00549,E01094,0.31
E00050,E00610,0.72
E00096,E00566,0.38
E01097,E00108,0.23
E00451,E00778,0.64
E00561,E00189,0.28
E00106,E00017,0.4
E00900,E01041,0.82
E00961,E00924,0.94
E00167,E00613,0.63
E00927,E00135,0.44
E00655,E00152,0.47
E00132,E00145,0.38
E00654,E00736,0.96
E00484,E00106,0.61
E00621,E00786,0.78
E00127,E00120,0.36
E00104,E00549,0.22
E01125,E00217,0.84
E00315,E00112,0.78
E00974,E01078,0.46
E00654,E00072,0.96
E00609,E00611,0.39
E00823,E00750,0.42
E00168,E00845,0.47
E00688,E00819,0.23
E00200,E00720,0.42
E00913,E00917,0.5
E00322,E00807,0.87
E01044,E00709,0.71
E00038,E00682,0.55
E00531,E01134,0.73
E01144,E00131,0.34
E00096,E00603,0.48
E00649,E00255,0.2
E01138,E00077,0.71
E00949,E00271,0.41
E00622,E00699,0.86
E01111,E00986,0.68
E00506,E00732,0.84
E00139,E00185,0.34
E00809,E00025,0.11
E00120,E00396,0.45
E01013,E00248,0.28
E01066,E00453,0.92
E00968,E00569,0.85
E00151,E00531,0.15
E00822,E00365,0.16
E00347,E00886,0.43
E00114,E00047,0.4
E00601,E00772,0.11
E00042,E00179,0.54
E00917,E01001,0.2
E01023,E00320,0.38
E01134,E00173,0.62
E00702,E00904,0.64
E00029,E00776,0.97
E01131,E01180,0.85
E00195,E00418,0.86
E01113,E00505,0.52
E00582,E00230,0.77
E00373,E00913,0.91
E00751,E00261,0.2
E00948,E00055,0.15
E00837,E00462,0.56
E00640,E00726,0.55
E00111,E00960,0.33
